<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;;;11/09/18-открытие;11/09/18-закрытие;11/09/18-мин;11/09/18-макс;11/10/18-открытие;11/10/18-закрытие;11/10/18-мин;11/10/18-макс;13/11/18-открытие;13/11/18-закрытие;13/11/18-мин;13/11/18-макс;11/12/18-открытие;11/12/18-закрытие;11/12/18-мин;11/12/18-макс
SPFB,RTS-12,18;1;11,09,2018;17:13;103690;103760;103690;103760;24;;;103690;103760;103690;103760;112450;112510;112440;112640;111130;111120;111070;111150;113700;113660;113660;113700
SPFB,RTS-12,18;1;11,09,2018;17:14;103800;103800;103770;103780;8;;;103800;103780;103770;103800;112520;112530;112470;112580;111110;111040;111030;111110;113670;113670;113660;113700
SPFB,RTS-12,18;1;11,09,2018;17:15;103780;103810;103780;103810;12;;;103780;103810;103780;103810;112530;112590;112530;112640;111050;110980;110970;111090;113680;113700;113680;113720
SPFB,RTS-12,18;1;11,09,2018;17:16;103840;103850;103800;103800;5;;;103840;103800;103800;103850;112600;112670;112570;112700;110980;110960;110960;111010;113710;113690;113680;113710
SPFB,RTS-12,18;1;11,09,2018;17:17;103800;103800;103780;103780;10;;;103800;103780;103780;103800;112670;112760;112650;112770;110980;111020;110970;111070;113690;113660;113650;113700
SPFB,RTS-12,18;1;11,09,2018;17:18;103800;103830;103800;103800;11;;;103800;103800;103800;103830;112760;112680;112650;112800;111020;111060;111010;111070;113650;113640;113630;113670
SPFB,RTS-12,18;1;11,09,2018;17:19;103850;103850;103840;103840;7;;;103850;103840;103840;103850;112690;112680;112640;112720;111060;111120;111050;111150;113640;113680;113640;113680
SPFB,RTS-12,18;1;11,09,2018;17:20;103880;103880;103860;103860;4;;;103880;103860;103860;103880;112670;112640;112620;112690;111120;111090;111090;111130;113680;113680;113660;113700
SPFB,RTS-12,18;1;11,09,2018;17:21;103870;103870;103850;103850;3;;;103870;103850;103850;103870;112630;112510;112480;112640;111100;111060;111020;111120;113680;113650;113630;113690
SPFB,RTS-12,18;1;11,09,2018;17:22;103890;103940;103890;103900;22;;;103890;103900;103890;103940;112510;112630;112480;112710;111060;111090;111040;111100;113650;113630;113620;113680
SPFB,RTS-12,18;1;11,09,2018;17:23;103930;104060;103930;104030;43;;;103930;104030;103930;104060;112660;112570;112560;112660;111090;111090;111080;111140;113620;113620;113600;113650
SPFB,RTS-12,18;1;11,09,2018;17:24;104000;104020;103980;103980;8;;;104000;103980;103980;104020;112570;112530;112520;112630;111090;111110;111090;111150;113620;113600;113600;113660
SPFB,RTS-12,18;1;11,09,2018;17:25;104020;104020;104000;104000;3;;;104020;104000;104000;104020;112520;112370;112310;112590;111120;111140;111120;111260;113610;113620;113610;113640
SPFB,RTS-12,18;1;11,09,2018;17:26;104050;104120;104050;104110;12;;;104050;104110;104050;104120;112360;112270;112270;112390;111130;111070;111050;111140;113630;113630;113630;113650
SPFB,RTS-12,18;1;11,09,2018;17:27;104130;104140;104100;104100;18;;;104130;104100;104100;104140;112270;112340;112260;112390;111080;111140;111080;111200;113630;113680;113630;113680
SPFB,RTS-12,18;1;11,09,2018;17:28;104090;104090;104060;104080;11;;;104090;104080;104060;104090;112350;112410;112340;112480;111140;111090;111070;111150;113680;113620;113610;113680
SPFB,RTS-12,18;1;11,09,2018;17:29;104060;104060;104050;104050;5;;;104060;104050;104050;104060;112400;112590;112390;112600;111120;111100;111100;111160;113620;113590;113580;113620
SPFB,RTS-12,18;1;11,09,2018;17:30;104040;104080;104040;104080;6;;;104040;104080;104040;104080;112590;112510;112490;112640;111100;111130;111070;111140;113600;113600;113590;113610
SPFB,RTS-12,18;1;11,09,2018;17:31;104000;104000;104000;104000;1;;;104000;104000;104000;104000;112510;112500;112380;112530;111140;111130;111110;111150;113590;113620;113590;113620
SPFB,RTS-12,18;1;11,09,2018;17:32;103990;104020;103990;103990;5;;;103990;103990;103990;104020;112510;112620;112500;112630;111140;111100;111080;111160;113620;113670;113620;113690
SPFB,RTS-12,18;1;11,09,2018;17:33;103950;103950;103950;103950;18;;;103950;103950;103950;103950;112630;112640;112560;112660;111100;111130;111100;111140;113680;113660;113650;113710
SPFB,RTS-12,18;1;11,09,2018;17:34;103950;103950;103950;103950;1;;;103950;103950;103950;103950;112650;112660;112570;112660;111150;111070;111050;111150;113650;113650;113640;113690
SPFB,RTS-12,18;1;11,09,2018;17:37;103960;103980;103960;103980;4;;;103960;103980;103960;103980;112660;112690;112650;112750;111080;111120;111060;111120;113650;113630;113610;113650
SPFB,RTS-12,18;1;11,09,2018;17:39;103970;103970;103900;103900;54;;;103970;103900;103900;103970;112690;112720;112690;112780;111110;111160;111100;111180;113630;113700;113630;113720
SPFB,RTS-12,18;1;11,09,2018;17:40;103870;103990;103870;103960;24;;;103870;103960;103870;103990;112730;112500;112470;112740;111170;111140;111120;111190;113700;113700;113650;113720
SPFB,RTS-12,18;1;11,09,2018;17:41;103920;103920;103920;103920;1;;;103920;103920;103920;103920;112510;112680;112500;112740;111150;111140;111140;111180;113690;113680;113670;113690
SPFB,RTS-12,18;1;11,09,2018;17:42;103870;103880;103780;103800;25;;;103870;103800;103780;103880;112680;112630;112590;112680;111150;111170;111140;111190;113670;113660;113660;113680
SPFB,RTS-12,18;1;11,09,2018;17:43;103790;103840;103790;103790;5;;;103790;103790;103790;103840;112620;112530;112500;112620;111180;111180;111170;111200;113660;113620;113620;113660
SPFB,RTS-12,18;1;11,09,2018;17:44;103820;103820;103820;103820;1;;;103820;103820;103820;103820;112520;112510;112480;112540;111180;111210;111170;111210;113630;113700;113610;113720
SPFB,RTS-12,18;1;11,09,2018;17:45;103810;103810;103810;103810;1;;;103810;103810;103810;103810;112490;112490;112440;112520;111210;111310;111200;111340;113700;113750;113690;113750
SPFB,RTS-12,18;1;11,09,2018;17:47;103750;103760;103720;103760;24;;;103750;103760;103720;103760;112490;112510;112470;112530;111310;111400;111310;111440;113740;113770;113690;113790
SPFB,RTS-12,18;1;11,09,2018;17:48;103750;103750;103750;103750;1;;;103750;103750;103750;103750;112520;112610;112510;112630;111410;111370;111350;111460;113770;113770;113730;113770
SPFB,RTS-12,18;1;11,09,2018;17:49;103800;103830;103800;103830;2;;;103800;103830;103800;103830;112600;112590;112540;112640;111370;111350;111330;111410;113770;113750;113720;113780
SPFB,RTS-12,18;1;11,09,2018;17:51;103900;103910;103900;103910;4;;;103900;103910;103900;103910;112600;112660;112600;112710;111360;111340;111330;111380;113760;113770;113750;113820
SPFB,RTS-12,18;1;11,09,2018;17:52;103970;103970;103930;103930;4;;;103970;103930;103930;103970;112650;112670;112640;112690;111340;111270;111200;111340;113780;113850;113780;113850
SPFB,RTS-12,18;1;11,09,2018;17:53;103990;104000;103990;103990;7;;;103990;103990;103990;104000;112690;112500;112500;112690;111260;111220;111180;111270;113850;113980;113850;114000
SPFB,RTS-12,18;1;11,09,2018;17:55;104040;104050;104040;104050;3;;;104040;104050;104040;104050;112500;112490;112460;112560;111210;111290;111190;111290;113990;113970;113960;114040
SPFB,RTS-12,18;1;11,09,2018;17:56;104090;104230;104090;104180;66;;;104090;104180;104090;104230;112500;112420;112410;112520;111290;111320;111280;111340;113970;113930;113920;113980
SPFB,RTS-12,18;1;11,09,2018;17:57;104180;104180;104130;104130;5;;;104180;104130;104130;104180;112420;112480;112370;112530;111320;111370;111290;111370;113930;113900;113900;113950
SPFB,RTS-12,18;1;11,09,2018;17:58;104110;104110;104100;104100;5;;;104110;104100;104100;104110;112470;112420;112340;112470;111370;111480;111340;111510;113920;113920;113910;113960
SPFB,RTS-12,18;1;11,09,2018;17:59;104050;104050;104050;104050;1;;;104050;104050;104050;104050;112420;112660;112410;112800;111480;111360;111320;111490;113930;113930;113910;113930
SPFB,RTS-12,18;1;11,09,2018;18:01;104150;104150;104130;104130;4;;;104150;104130;104130;104150;112660;112680;112590;112800;111360;111370;111330;111410;113910;113950;113890;113950
SPFB,RTS-12,18;1;11,09,2018;18:02;104130;104200;104130;104170;10;;;104130;104170;104130;104200;112680;112490;112460;112840;111390;111370;111350;111400;113960;113930;113890;114000
SPFB,RTS-12,18;1;11,09,2018;18:03;104160;104160;104160;104160;1;;;104160;104160;104160;104160;112500;112540;112450;112670;111370;111320;111310;111380;113940;113930;113890;113980
SPFB,RTS-12,18;1;11,09,2018;18:04;104180;104180;104180;104180;1;;;104180;104180;104180;104180;112560;112500;112470;112610;111310;111350;111290;111380;113930;113980;113930;113990
SPFB,RTS-12,18;1;11,09,2018;18:06;104180;104180;104180;104180;4;;;104180;104180;104180;104180;112500;112450;112380;112500;111380;111420;111370;111480;113980;113890;113850;113980
SPFB,RTS-12,18;1;11,09,2018;18:07;104160;104190;104140;104140;54;;;104160;104140;104140;104190;112440;112460;112410;112520;111440;111430;111410;111450;113910;113920;113890;113940
SPFB,RTS-12,18;1;11,09,2018;18:11;104200;104200;104190;104190;8;;;104200;104190;104190;104200;112460;112320;112310;112480;111430;111530;111420;111570;113910;113910;113890;113930
SPFB,RTS-12,18;1;11,09,2018;18:12;104250;104270;104230;104250;115;;;104250;104250;104230;104270;112310;112040;112010;112310;111550;111520;111500;111590;113910;113930;113880;113930
SPFB,RTS-12,18;1;11,09,2018;18:13;104270;104270;104230;104250;58;;;104270;104250;104230;104270;112030;111970;111930;112100;111510;111480;111470;111580;113920;113900;113880;113940
SPFB,RTS-12,18;1;11,09,2018;18:14;104300;104340;104290;104330;28;;;104300;104330;104290;104340;111960;111910;111910;111990;111470;111430;111410;111480;113890;113940;113870;113940
SPFB,RTS-12,18;1;11,09,2018;18:15;104330;104330;104260;104260;2;;;104330;104260;104260;104330;111920;111920;111760;111970;111430;111460;111400;111460;113920;113950;113910;113970
SPFB,RTS-12,18;1;11,09,2018;18:16;104260;104270;104250;104270;7;;;104260;104270;104250;104270;111910;112090;111860;112130;111460;111410;111400;111480;113960;114000;113960;114010
SPFB,RTS-12,18;1;11,09,2018;18:17;104200;104200;104200;104200;1;;;104200;104200;104200;104200;112080;112000;111970;112110;111430;111420;111400;111440;113990;114000;113950;114000
SPFB,RTS-12,18;1;11,09,2018;18:18;104260;104260;104240;104240;60;;;104260;104240;104240;104260;112000;112310;111940;112350;111420;111470;111410;111540;114000;113950;113950;114030
SPFB,RTS-12,18;1;11,09,2018;18:19;104290;104290;104290;104290;3;;;104290;104290;104290;104290;112310;112430;112270;112460;111460;111460;111440;111480;113950;113960;113930;113970
SPFB,RTS-12,18;1;11,09,2018;18:20;104300;104300;104300;104300;2;;;104300;104300;104300;104300;112440;112470;112340;112490;111450;111380;111380;111460;113940;113930;113930;113960
SPFB,RTS-12,18;1;11,09,2018;18:21;104300;104300;104300;104300;1;;;104300;104300;104300;104300;112470;112500;112420;112570;111380;111390;111380;111420;113930;113910;113900;113940
SPFB,RTS-12,18;1;11,09,2018;18:22;104300;104300;104300;104300;1;;;104300;104300;104300;104300;112500;112670;112490;112710;111390;111400;111370;111400;113910;113900;113880;113940
SPFB,RTS-12,18;1;11,09,2018;18:23;104310;104310;104290;104290;16;;;104310;104290;104290;104310;112670;112810;112670;112820;111390;111330;111330;111420;113890;113900;113880;113920
SPFB,RTS-12,18;1;11,09,2018;18:24;104320;104320;104310;104310;7;;;104320;104310;104310;104320;112810;112870;112760;112900;111330;111290;111260;111350;113910;113850;113850;113910
SPFB,RTS-12,18;1;11,09,2018;18:25;104340;104340;104310;104310;9;;;104340;104310;104310;104340;112870;112810;112790;112930;111300;111320;111290;111360;113850;113860;113820;113870
SPFB,RTS-12,18;1;11,09,2018;18:26;104350;104350;104350;104350;2;;;104350;104350;104350;104350;112810;112730;112710;112820;111320;111280;111260;111340;113860;113880;113860;113890
SPFB,RTS-12,18;1;11,09,2018;18:27;104350;104400;104350;104380;16;;;104350;104380;104350;104400;112720;112710;112680;112790;111280;111270;111270;111300;113880;113850;113830;113890
SPFB,RTS-12,18;1;11,09,2018;18:28;104370;104370;104370;104370;1;;;104370;104370;104370;104370;112710;112760;112630;112790;111270;111250;111210;111280;113840;113830;113820;113860
SPFB,RTS-12,18;1;11,09,2018;18:29;104330;104400;104330;104400;2;;;104330;104400;104330;104400;112750;112730;112680;112760;111250;111280;111250;111320;113820;113820;113810;113860
SPFB,RTS-12,18;1;11,09,2018;18:30;104390;104430;104390;104410;21;;;104390;104410;104390;104430;112740;112910;112700;112910;111290;111330;111290;111340;113820;113850;113820;113860
SPFB,RTS-12,18;1;11,09,2018;18:31;104390;104440;104390;104390;9;;;104390;104390;104390;104440;112920;112920;112850;112950;111330;111350;111330;111360;113850;113870;113840;113870
SPFB,RTS-12,18;1;11,09,2018;18:32;104370;104370;104350;104350;2;;;104370;104350;104350;104370;112920;112880;112870;112960;111350;111340;111330;111380;113870;113850;113840;113870
SPFB,RTS-12,18;1;11,09,2018;18:35;104360;104360;104350;104360;7;;;104360;104360;104350;104360;112870;112790;112790;112970;111330;111440;111320;111480;113840;113880;113830;113890
SPFB,RTS-12,18;1;11,09,2018;18:36;104340;104360;104340;104360;4;;;104340;104360;104340;104360;112800;112790;112770;112890;111430;111410;111410;111450;113880;113920;113880;113920
SPFB,RTS-12,18;1;11,09,2018;18:37;104420;104420;104420;104420;1;;;104420;104420;104420;104420;112790;112740;112700;112820;111420;111410;111400;111440;113900;113880;113880;113920
SPFB,RTS-12,18;1;11,09,2018;18:38;104400;104400;104370;104370;17;;;104400;104370;104370;104400;112730;112740;112670;112760;111410;111370;111360;111430;113880;113880;113850;113890
SPFB,RTS-12,18;1;11,09,2018;18:39;104370;104370;104370;104370;10;;;104370;104370;104370;104370;112760;112570;112560;112780;111360;111360;111350;111380;113870;113850;113840;113880
SPFB,RTS-12,18;1;11,09,2018;18:40;104400;104400;104360;104360;2;;;104400;104360;104360;104400;112560;112510;112500;112650;111360;111390;111360;111400;113860;113860;113850;113880
SPFB,RTS-12,18;1;11,09,2018;18:41;104430;104430;104400;104420;13;;;104430;104420;104400;104430;112520;112620;112500;112650;111400;111320;111310;111410;113870;113830;113830;113870
SPFB,RTS-12,18;1;11,09,2018;18:42;104450;104450;104440;104440;2;;;104450;104440;104440;104450;112610;112600;112570;112670;111320;111280;111240;111340;113830;113850;113810;113870
SPFB,RTS-12,18;1;11,09,2018;18:45;104380;104440;104370;104440;12;;;104380;104440;104370;104440;112590;112770;112590;112850;111280;111250;111240;111290;113860;113910;113850;113930
SPFB,RTS-12,18;1;11,09,2018;19:01;104480;104810;104480;104660;72;;;104480;104660;104480;104810;112780;112810;112770;112870;111250;111200;111180;111290;113910;113910;113900;113930
SPFB,RTS-12,18;1;11,09,2018;19:02;104690;104740;104670;104690;16;;;104690;104690;104670;104740;112810;112740;112690;112890;111190;111170;111140;111190;113910;113930;113910;113950
SPFB,RTS-12,18;1;11,09,2018;19:03;104670;104670;104620;104620;22;;;104670;104620;104620;104670;112750;112760;112730;112820;111170;111140;111090;111180;113920;113890;113870;113920
SPFB,RTS-12,18;1;11,09,2018;19:04;104620;104620;104620;104620;2;;;104620;104620;104620;104620;112780;112610;112600;112780;111120;111120;111100;111160;113900;113920;113890;113930
SPFB,RTS-12,18;1;11,09,2018;19:05;104610;104610;104610;104610;3;;;104610;104610;104610;104610;112610;112660;112580;112690;111120;111060;111060;111120;113920;113970;113910;113990
SPFB,RTS-12,18;1;11,09,2018;19:06;104610;104670;104600;104600;25;;;104610;104600;104600;104670;112670;112670;112660;112770;111070;111130;111070;111160;113980;113970;113940;114000
SPFB,RTS-12,18;1;11,09,2018;19:07;104640;104640;104550;104600;8;;;104640;104600;104550;104640;112670;112640;112540;112670;111130;111190;111130;111190;113980;113940;113920;113980
SPFB,RTS-12,18;1;11,09,2018;19:08;104600;104600;104600;104600;1;;;104600;104600;104600;104600;112630;112480;112470;112630;111190;111100;111100;111190;113940;113910;113900;113950
SPFB,RTS-12,18;1;11,09,2018;19:09;104580;104600;104580;104600;15;;;104580;104600;104580;104600;112470;112520;112420;112540;111110;111100;111070;111110;113890;113910;113890;113920
SPFB,RTS-12,18;1;11,09,2018;19:10;104600;104620;104600;104620;14;;;104600;104620;104600;104620;112540;112450;112450;112580;111090;111020;111010;111100;113910;113940;113890;113950
SPFB,RTS-12,18;1;11,09,2018;19:11;104580;104580;104550;104560;3;;;104580;104560;104550;104580;112450;112580;112450;112600;111020;110970;110930;111030;113950;113900;113900;113960
SPFB,RTS-12,18;1;11,09,2018;19:12;104590;104670;104580;104600;18;;;104590;104600;104580;104670;112580;112570;112510;112590;110980;110950;110950;111020;113910;113890;113870;113920
SPFB,RTS-12,18;1;11,09,2018;19:16;104570;104600;104570;104600;23;;;104570;104600;104570;104600;112570;112550;112540;112620;110940;110970;110870;110990;113890;113880;113870;113930
SPFB,RTS-12,18;1;11,09,2018;19:17;104610;104670;104610;104670;3;;;104610;104670;104610;104670;112570;112480;112460;112590;110960;110980;110960;111000;113880;113920;113870;113930
SPFB,RTS-12,18;1;11,09,2018;19:22;104600;104600;104600;104600;2;;;104600;104600;104600;104600;112500;112540;112480;112560;110960;110980;110900;111020;113930;113940;113920;113950
SPFB,RTS-12,18;1;11,09,2018;19:25;104570;104570;104570;104570;3;;;104570;104570;104570;104570;112520;112360;112360;112530;110980;110990;110910;111010;113950;113910;113910;113950
SPFB,RTS-12,18;1;11,09,2018;19:28;104600;104600;104560;104560;2;;;104600;104560;104560;104600;112360;112410;112310;112410;111000;110980;110970;111040;113920;113950;113920;113980
SPFB,RTS-12,18;1;11,09,2018;19:32;104560;104560;104560;104560;10;;;104560;104560;104560;104560;112400;112510;112380;112520;110980;111020;110950;111020;113960;113920;113920;113980
SPFB,RTS-12,18;1;11,09,2018;19:33;104510;104550;104500;104500;11;;;104510;104500;104500;104550;112510;112550;112470;112580;111010;111030;111000;111040;113920;113920;113910;113940
SPFB,RTS-12,18;1;11,09,2018;19:35;104500;104510;104500;104510;5;;;104500;104510;104500;104510;112560;112480;112470;112590;111040;111070;111030;111130;113920;113930;113910;113960
SPFB,RTS-12,18;1;11,09,2018;19:36;104510;104510;104510;104510;1;;;104510;104510;104510;104510;112500;112530;112450;112530;111070;111080;111060;111100;113940;113910;113900;113950
SPFB,RTS-12,18;1;11,09,2018;19:38;104510;104510;104510;104510;2;;;104510;104510;104510;104510;112520;112630;112500;112630;111080;111070;111040;111170;113910;113890;113850;113940
SPFB,RTS-12,18;1;11,09,2018;19:39;104500;104500;104500;104500;3;;;104500;104500;104500;104500;112630;112610;112600;112740;111070;111120;111040;111150;113900;113830;113830;113900
SPFB,RTS-12,18;1;11,09,2018;19:40;104520;104520;104520;104520;1;;;104520;104520;104520;104520;112600;112620;112580;112690;111130;111160;111130;111230;113830;113770;113740;113840
SPFB,RTS-12,18;1;11,09,2018;19:43;104490;104550;104470;104550;17;;;104490;104550;104470;104550;112620;112520;112500;112640;111150;111250;111140;111250;113770;113880;113770;113890
SPFB,RTS-12,18;1;11,09,2018;19:44;104550;104560;104550;104560;15;;;104550;104560;104550;104560;112520;112540;112470;112560;111240;111210;111200;111250;113880;113880;113830;113930
SPFB,RTS-12,18;1;11,09,2018;19:45;104640;104700;104640;104700;37;;;104640;104700;104640;104700;112540;112530;112510;112570;111220;111220;111200;111240;113890;113920;113870;113950
SPFB,RTS-12,18;1;11,09,2018;19:46;104700;104700;104640;104640;11;;;104700;104640;104640;104700;112510;112610;112470;112650;111220;111280;111220;111300;113920;113810;113810;113920
SPFB,RTS-12,18;1;11,09,2018;19:48;104660;104660;104660;104660;3;;;104660;104660;104660;104660;112600;112620;112590;112700;111280;111280;111230;111290;113810;113880;113810;113890
SPFB,RTS-12,18;1;11,09,2018;19:52;104680;104680;104680;104680;6;;;104680;104680;104680;104680;112610;112410;112390;112630;111270;111310;111270;111350;113890;113770;113770;113920
SPFB,RTS-12,18;1;11,09,2018;19:54;104620;104620;104620;104620;1;;;104620;104620;104620;104620;112400;112450;112400;112500;111310;111230;111230;111350;113780;113690;113690;113800
SPFB,RTS-12,18;1;11,09,2018;19:55;104610;104610;104610;104610;1;;;104610;104610;104610;104610;112450;112460;112420;112510;111220;111250;111210;111270;113680;113690;113670;113720
SPFB,RTS-12,18;1;11,09,2018;19:59;104650;104650;104650;104650;1;;;104650;104650;104650;104650;112460;112580;112420;112600;111250;111300;111210;111320;113710;113700;113680;113740
SPFB,RTS-12,18;1;11,09,2018;20:01;104680;104720;104680;104720;7;;;104680;104720;104680;104720;112580;112540;112520;112580;111300;111160;111140;111310;113710;113670;113640;113710
SPFB,RTS-12,18;1;11,09,2018;20:06;104670;104670;104670;104670;1;;;104670;104670;104670;104670;112550;112500;112490;112640;111150;111120;111080;111180;113670;113690;113670;113750
SPFB,RTS-12,18;1;11,09,2018;20:07;104650;104650;104630;104630;2;;;104650;104630;104630;104650;112490;112620;112490;112660;111120;111030;110990;111120;113710;113670;113660;113710
SPFB,RTS-12,18;1;11,09,2018;20:08;104620;104620;104620;104620;1;;;104620;104620;104620;104620;112630;112550;112510;112740;111020;111090;110990;111130;113680;113550;113540;113700
SPFB,RTS-12,18;1;11,09,2018;20:09;104640;104640;104640;104640;1;;;104640;104640;104640;104640;112560;112490;112470;112570;111100;111100;111060;111110;113550;113490;113450;113560
SPFB,RTS-12,18;1;11,09,2018;20:10;104670;104670;104670;104670;2;;;104670;104670;104670;104670;112490;112520;112430;112530;111110;111200;111110;111200;113480;113520;113470;113550
SPFB,RTS-12,18;1;11,09,2018;20:12;104640;104670;104630;104640;15;;;104640;104640;104630;104670;112510;112580;112500;112610;111200;111180;111170;111260;113500;113510;113490;113550
SPFB,RTS-12,18;1;11,09,2018;20:13;104630;104650;104630;104650;2;;;104630;104650;104630;104650;112580;112440;112430;112610;111180;111120;111110;111230;113510;113460;113450;113530
SPFB,RTS-12,18;1;11,09,2018;20:14;104650;104700;104650;104700;14;;;104650;104700;104650;104700;112430;112570;112430;112580;111120;111090;111090;111190;113450;113420;113410;113460
SPFB,RTS-12,18;1;11,09,2018;20:15;104650;104650;104650;104650;1;;;104650;104650;104650;104650;112560;112540;112520;112590;111100;111100;111090;111190;113420;113520;113420;113530
SPFB,RTS-12,18;1;11,09,2018;20:16;104640;104640;104640;104640;1;;;104640;104640;104640;104640;112530;112480;112440;112540;111090;111030;111000;111100;113520;113580;113480;113590
SPFB,RTS-12,18;1;11,09,2018;20:17;104620;104620;104620;104620;1;;;104620;104620;104620;104620;112490;112380;112350;112540;111040;111080;111040;111110;113580;113530;113530;113600
SPFB,RTS-12,18;1;11,09,2018;20:18;104630;104700;104630;104700;3;;;104630;104700;104630;104700;112390;112470;112350;112470;111100;111110;111080;111150;113540;113520;113510;113590
SPFB,RTS-12,18;1;11,09,2018;20:21;104670;104670;104670;104670;1;;;104670;104670;104670;104670;112460;112430;112390;112530;111090;111060;111030;111110;113520;113540;113520;113570
SPFB,RTS-12,18;1;11,09,2018;20:22;104640;104640;104450;104530;117;;;104640;104530;104450;104640;112420;112410;112410;112500;111060;110950;110920;111070;113540;113530;113460;113580
SPFB,RTS-12,18;1;11,09,2018;20:23;104580;104580;104540;104540;9;;;104580;104540;104540;104580;112410;112380;112300;112430;110940;110950;110940;110990;113530;113530;113520;113590
SPFB,RTS-12,18;1;11,09,2018;20:24;104500;104500;104370;104370;46;;;104500;104370;104370;104500;112370;112450;112360;112520;110960;110840;110810;110970;113530;113450;113440;113540
SPFB,RTS-12,18;1;11,09,2018;20:25;104430;104500;104430;104500;4;;;104430;104500;104430;104500;112450;112440;112340;112450;110830;110810;110790;110870;113470;113470;113460;113490
SPFB,RTS-12,18;1;11,09,2018;20:26;104490;104490;104490;104490;1;;;104490;104490;104490;104490;112420;112290;112210;112490;110810;110780;110730;110830;113470;113580;113460;113580
SPFB,RTS-12,18;1;11,09,2018;20:27;104430;104490;104430;104460;5;;;104430;104460;104430;104490;112280;112310;112250;112320;110770;110660;110610;110790;113580;113660;113560;113680
SPFB,RTS-12,18;1;11,09,2018;20:29;104470;104470;104470;104470;43;;;104470;104470;104470;104470;112310;112400;112310;112430;110670;110570;110570;110690;113660;113640;113610;113690
SPFB,RTS-12,18;1;11,09,2018;20:30;104480;104480;104470;104470;2;;;104480;104470;104470;104480;112400;112400;112370;112440;110580;110500;110350;110580;113630;113660;113620;113680
SPFB,RTS-12,18;1;11,09,2018;20:31;104480;104480;104470;104470;27;;;104480;104470;104470;104480;112390;112240;112210;112400;110480;110450;110380;110510;113660;113660;113650;113710
SPFB,RTS-12,18;1;11,09,2018;20:32;104450;104450;104450;104450;1;;;104450;104450;104450;104450;112260;112200;112150;112270;110440;110560;110420;110600;113660;113690;113660;113700
SPFB,RTS-12,18;1;11,09,2018;20:34;104460;104460;104460;104460;1;;;104460;104460;104460;104460;112200;112230;112130;112270;110560;110520;110500;110560;113690;113580;113570;113710
SPFB,RTS-12,18;1;11,09,2018;20:35;104460;104460;104460;104460;4;;;104460;104460;104460;104460;112240;112280;112230;112300;110530;110640;110480;110650;113590;113590;113560;113640
SPFB,RTS-12,18;1;11,09,2018;20:36;104470;104470;104460;104460;2;;;104470;104460;104460;104470;112280;112120;112120;112300;110630;110670;110590;110700;113580;113540;113530;113610
SPFB,RTS-12,18;1;11,09,2018;20:39;104540;104540;104540;104540;1;;;104540;104540;104540;104540;112120;112080;112070;112150;110680;110670;110650;110760;113530;113520;113520;113580
SPFB,RTS-12,18;1;11,09,2018;20:42;104550;104550;104550;104550;1;;;104550;104550;104550;104550;112070;111910;111900;112130;110670;110560;110520;110680;113520;113300;113270;113530
SPFB,RTS-12,18;1;11,09,2018;20:43;104520;104520;104520;104520;1;;;104520;104520;104520;104520;111910;111810;111810;112000;110560;110500;110460;110560;113300;113210;113210;113310
SPFB,RTS-12,18;1;11,09,2018;20:54;104480;104480;104480;104480;2;;;104480;104480;104480;104480;111830;111680;111650;111870;110490;110530;110470;110620;113210;113330;113160;113370
SPFB,RTS-12,18;1;11,09,2018;20:59;104440;104440;104440;104440;1;;;104440;104440;104440;104440;111670;111700;111600;111740;110530;110550;110490;110560;113330;113280;113280;113350
SPFB,RTS-12,18;1;11,09,2018;21:04;104380;104420;104370;104380;41;;;104380;104380;104370;104420;111700;111640;111620;111740;110550;110580;110500;110600;113270;113330;113270;113330
SPFB,RTS-12,18;1;11,09,2018;21:05;104360;104360;104340;104350;27;;;104360;104350;104340;104360;111640;111830;111570;111880;110560;110630;110530;110640;113320;113310;113290;113340
SPFB,RTS-12,18;1;11,09,2018;21:07;104360;104360;104350;104350;2;;;104360;104350;104350;104360;111820;111810;111730;111840;110620;110650;110590;110720;113320;113360;113290;113370
SPFB,RTS-12,18;1;11,09,2018;21:08;104370;104370;104370;104370;1;;;104370;104370;104370;104370;111830;111980;111740;111990;110640;110540;110520;110650;113360;113350;113340;113380
SPFB,RTS-12,18;1;11,09,2018;21:09;104370;104370;104370;104370;1;;;104370;104370;104370;104370;111970;111970;111940;112040;110540;110530;110510;110580;113350;113340;113310;113370
SPFB,RTS-12,18;1;11,09,2018;21:10;104390;104420;104390;104420;3;;;104390;104420;104390;104420;111970;111970;111910;111980;110540;110420;110410;110560;113350;113390;113330;113410
SPFB,RTS-12,18;1;11,09,2018;21:11;104450;104450;104400;104400;2;;;104450;104400;104400;104450;111960;112070;111940;112100;110420;110390;110370;110460;113380;113350;113350;113410
SPFB,RTS-12,18;1;11,09,2018;21:14;104400;104400;104400;104400;5;;;104400;104400;104400;104400;112080;112040;111950;112090;110400;110120;110100;110400;113340;113340;113330;113380
SPFB,RTS-12,18;1;11,09,2018;21:18;104430;104430;104430;104430;1;;;104430;104430;104430;104430;112040;112100;111970;112120;110130;110140;110100;110170;113340;113350;113320;113360
SPFB,RTS-12,18;1;11,09,2018;21:21;104400;104400;104400;104400;1;;;104400;104400;104400;104400;112110;112200;112040;112210;110130;110090;110060;110150;113340;113290;113270;113360
